UID         PID   PPID  C STIME TTY          TIME CMD
polkitd    1188      1  0 11月26 ?      00:01:46 /usr/lib/polkit-1/polkitd --no-debug
root       1191      1  0 11月26 ?      00:00:00 /usr/sbin/ModemManager
libstor+   1194      1  0 11月26 ?      00:00:02 /usr/bin/lsmd -d
root       1196      1  0 11月26 ?      00:00:02 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root       1197      1  0 11月26 ?      00:00:00 /usr/sbin/gssproxy -D
root       1199      1  0 11月26 ?      00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root       1202      1  0 11月26 ?      00:00:00 /usr/sbin/smartd -n -q never
avahi      1205   1183  0 11月26 ?      00:00:00 avahi-daemon: chroot helper
root       1208      1  0 11月26 ?      00:00:23 /sbin/rngd -f
root       1252      1  0 11月26 ?      00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --syslog
root       1277      1  0 11月26 ?      00:00:04 /bin/bash /usr/sbin/ksmtuned
root       1624      1  0 11月26 ?      00:00:59 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       1625      1  0 11月26 ?      00:00:00 /usr/sbin/sshd -D
root       1626      1  0 11月26 ?      00:00:00 /usr/sbin/cupsd -f
root       1630      1  0 11月26 ?      00:00:48 /usr/sbin/rsyslogd -n
root       1638      1  0 11月26 ?      00:00:01 /usr/sbin/libvirtd
root       1646      1  0 11月26 ?      00:00:02 /usr/sbin/crond -n
root       1649      1  0 11月26 ?      00:00:00 /usr/sbin/atd -f
root       1651      1  0 11月26 ?      00:00:00 /usr/sbin/gdm
root       2014      1  0 11月26 ?      00:00:02 /usr/libexec/postfix/master -w
postfix    2024   2014  0 11月26 ?      00:00:00 qmgr -l -t unix -u
root       2046   1651  0 11月26 tty1   00:07:14 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-4Pm7kf/database -seat seat0 -nolisten tcp vt1
nobody     2051      1  0 11月26 ?      00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       2052   2051  0 11月26 ?      00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       2398      1  0 11月26 ?      00:00:00 /usr/libexec/upowerd
root       2459      1  0 11月26 ?      00:00:00 /usr/libexec/boltd
